S, J, I, Std_I, m, Std_m, loglike_min
4,158,3.49239,12.9953,0.0217605,0.0792095,23.9858
4,48,5.98228,18.9944,0.112911,0.318025,18.0142
5,50,9.0207,21.6187,0.155474,0.314673,22.0523
7,298,7.607,13.3286,0.0249732,0.042664,45.2993
6,430,4.27486,10.5907,0.00986638,0.0242021,41.4571
2,121,0.870619,10.4523,0.0072029,0.0858518,7.02125
2,54,0.970776,11.2289,0.0179871,0.204313,8.13712
12,274,34.0698,24.8662,0.110951,0.0719943,55.3144
10,454,11.437,13.1771,0.0246256,0.0276735,61.9789
4,486,0.01,0.577343,2.06E-05,0.00119035,36.3084
6,200,8.04556,16.0394,0.0388589,0.0744577,23.4773
9,206,11.6837,15.2436,0.0539206,0.0665561,54.4975
6,138,11.4712,20.8202,0.0772621,0.129396,21.8094
5,202,4.54127,12.8256,0.0220942,0.0610205,32.6433
2,196,0.01,1.00001,5.13E-05,0.00512775,12.3416
4,82,8.33698,24.5333,0.0933206,0.248989,12.0061
7,170,11.1533,17.4376,0.0619099,0.0908009,38.9667
4,69,4.15104,14.7353,0.0575327,0.192478,22.5731
6,111,8.00551,16.4317,0.0678402,0.129799,30.7695
6,134,7.28653,15.2114,0.0519403,0.102799,30.3351
3,50,3.44731,17.4321,0.0657291,0.310527,9.89
7,192,6.01445,11.4467,0.0305279,0.0563274,33.0448
3,130,2.6471,13.9558,0.0201076,0.103878,15.3779
5,53,14.0338,32.7007,0.212524,0.389967,21.6031
4,173,4.77144,15.8732,0.0269921,0.087371,15.9512
5,130,5.29418,13.8091,0.0394223,0.0987735,23.7836
10,60,13.307,15.9438,0.184035,0.179921,54.884
6,168,5.07727,11.7017,0.0295057,0.065996,31.2152
5,114,9.66375,21.6834,0.0787824,0.162845,20.6312
7,354,6.60809,12.4995,0.0183758,0.0341201,46.749
9,126,18.4447,20.1473,0.128584,0.122393,44.0284
