S, J, Theta, Std_Theta, I, Std_I, m, Std_m, loglike_min, Theta_Ewens, loglike_Ewens, Theta2, Std_Theta2, I2, Std_I2, m2, Std_m2, loglike_min2
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
6,46,23.9681,66.2845,1.91521,1.02117,0.0408227,0.0208777,8.25259,1.61595,8.27103,23.9681,66.2849,1.9152,1.02117,0.0408227,0.0208777,8.25259
3,12,4.40E+08,6.68E+10,0.933958,0.766831,0.0782606,0.0592275,2.99223,0.933963,2.99223,1.86E+08,6.44E+10,0.933958,0.766831,0.0782606,0.0592275,2.99223
5,21,5.34E+08,9.03E+10,1.75241,1.04805,0.0805615,0.0442992,6.47971,1.7524,6.47971,1.92E+08,6.30E+10,1.75239,1.04803,0.0805607,0.0442987,6.47971
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
7,42,1.43E+09,1.31E+11,2.14457,1.02398,0.0497067,0.0225539,9.24372,2.14456,9.24372,1.52E+09,1.51E+11,2.14457,1.02397,0.0497066,0.0225539,9.24372
4,10,5.19E+08,9.50E+10,1.95632,1.45966,0.178557,0.109437,3.36254,1.95636,3.36254,5.03E+08,9.20E+10,1.95639,1.45973,0.178562,0.109441,3.36254
3,17,2.50281,3.0875,1.87349,2.09074,0.104819,0.104713,3.93651,0.774109,4.08832,2.50281,3.08751,1.87349,2.09075,0.104819,0.104713,3.93651
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
4,39,8.79E+08,9.01E+10,0.905206,0.577236,0.023267,0.0144918,5.3628,0.905205,5.3628,6.95E+08,1.11E+11,0.905202,0.577233,0.0232669,0.0144917,5.3628
5,28,3.63587,2.90091,4.61316,4.33905,0.145925,0.117226,7.12763,1.50188,7.49945,3.63587,2.90091,4.61317,4.33906,0.145925,0.117226,7.12763
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
2,4,3.08702,7.60449,1.60986,2.67916,0.349221,0.378219,1.05253,0.879385,1.09329,3.08702,7.60451,1.60986,2.67915,0.349221,0.378219,1.05253
5,23,13.3689,27.8481,2.20364,1.438,0.0910458,0.0540031,5.51766,1.66348,5.54837,13.3689,27.848,2.20364,1.438,0.0910458,0.0540032,5.51766
6,8,18.3167,26.4704,20.9769,33.5334,0.749794,0.299899,1.45072,9.23081,1.53637,18.3167,26.4703,20.9769,33.5334,0.749794,0.299899,1.45072
4,12,7.72E+08,1.41E+11,1.67213,1.19856,0.131954,0.082102,3.74944,1.67216,3.74944,5.66E+08,1.04E+11,1.67214,1.19857,0.131954,0.0821024,3.74944
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
4,8,6.16E+08,1.13E+11,2.50068,2.00246,0.26321,0.155293,2.78737,2.50062,2.78737,4.79E+08,8.77E+10,2.50066,2.00244,0.263209,0.155293,2.78737
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
4,4,5.17E+09,4.50E+11,1.61E+09,2.57E+11,1,2.97E-07,-1.45E-08,1494.83,0.00401069,1.02E+09,7.33E+11,3.26E+09,1.94E+11,1,5.49E-08,-1.56E-09
4,56,2.82E+08,6.23E+10,0.80108,0.502744,0.014356,0.00888024,6.63105,0.801081,6.63105,2.10E+08,7.04E+10,0.801077,0.502742,0.0143559,0.0088802,6.63105
3,28,2.94345,4.06128,1.24629,1.20477,0.0441224,0.0407704,4.76742,0.627463,4.88301,2.94346,4.06129,1.24629,1.20477,0.0441223,0.0407703,4.76742
2,4,3.08702,7.60449,1.60986,2.67916,0.349221,0.378219,1.05253,0.879385,1.09329,3.08702,7.60451,1.60986,2.67915,0.349221,0.378219,1.05253
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
4,6,8.02309,11.8944,9.94079,16.9508,0.665346,0.379677,1.54357,4.0627,1.65809,8.02308,11.8943,9.94081,16.9509,0.665346,0.379677,1.54357
5,25,3.96839,3.31126,4.53089,4.26119,0.158807,0.125635,6.56757,1.59041,6.87981,3.96839,3.31126,4.53089,4.26119,0.158807,0.125635,6.56757
3,5,4.37233,6.69826,5.92796,10.8166,0.597098,0.438966,1.64964,2.22544,1.78642,4.37233,6.69827,5.92796,10.8166,0.597097,0.438966,1.64964
4,29,22.8266,114.964,1.13968,0.759358,0.039111,0.02504,5.77489,1.01636,5.78043,22.8265,114.964,1.13968,0.759358,0.039111,0.02504,5.77489
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
1,9,0.000368474,nan,0.9,nan,0.101124,nan,0.000451807,0.000368474,0.00100136,0.9,nan,0.000368474,nan,4.61E-05,nan,0.000474267
3,29,5.74E+08,1.46E+11,0.619414,0.476603,0.0216432,0.0162927,3.77133,0.619411,3.77133,4.41E+08,8.87E+10,0.619411,0.4766,0.021643,0.0162926,3.77133
6,13,9.28E+08,9.96E+10,3.71916,2.31123,0.2366,0.112245,4.87022,3.71912,4.87022,9.44E+08,1.34E+11,3.71916,2.31124,0.2366,0.112245,4.87022
4,12,7.72E+08,1.41E+11,1.67213,1.19856,0.131954,0.082102,3.74944,1.67216,3.74944,5.66E+08,1.04E+11,1.67214,1.19857,0.131954,0.0821024,3.74944
4,16,4.44851,5.25339,2.87676,2.73496,0.160922,0.128371,4.03384,1.37126,4.17614,4.4485,5.25338,2.87676,2.73497,0.160922,0.128371,4.03384
3,11,4.39E+08,1.12E+11,0.98644,0.818681,0.089787,0.0678267,2.89024,0.986448,2.89024,3.54E+08,9.01E+10,0.98645,0.818691,0.0897879,0.0678274,2.89024
4,52,3.64618,3.92351,1.71825,1.39962,0.0325932,0.0256838,8.88855,0.820205,9.07665,3.64618,3.92351,1.71825,1.39962,0.0325932,0.0256838,8.88855
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
2,2,1.85E+09,1.56E+11,5.76E+08,1.80E+11,1,5.41E-07,-3.96E-09,497.79,0.00200686,5.17E+08,1.17E+11,1.66E+09,2.04E+11,1,7.41E-08,-2.94E-09
2,3,3.23607,7.61975,3.23607,7.61974,0.618034,0.555852,0.6143,1.41421,0.664135,3.23607,7.61974,3.23607,7.61975,0.618034,0.555852,0.6143
2,4,3.08702,7.60449,1.60986,2.67916,0.349221,0.378219,1.05253,0.879385,1.09329,3.08702,7.60451,1.60986,2.67915,0.349221,0.378219,1.05253
5,70,26.0179,104.773,1.18607,0.665785,0.0168989,0.0093257,8.95679,1.05257,8.96676,26.0179,104.773,1.18607,0.665785,0.0168989,0.0093257,8.95679
5,94,2.70091,1.90592,3.51036,3.27111,0.0363729,0.032661,11.3962,0.964125,11.899,2.7009,1.90592,3.51037,3.27112,0.0363729,0.0326611,11.3962
1,1,0.1,inf,1,nan,1,nan,0,1,0,1,335544,0.1,inf,1,nan,0
1,12,0.000331542,nan,1.2,nan,0.0983607,nan,0.000506021,0.000331542,0.00100113,1.2,nan,0.000331542,nan,3.01E-05,nan,0.000546018
9,31,17.2988,18.6374,6.17183,3.40474,0.170625,0.0780664,8.2578,3.89068,8.35512,17.2987,18.6374,6.17184,3.40475,0.170626,0.0780665,8.2578
7,42,8.3908,7.49754,4.09364,2.56581,0.090781,0.0517341,11.6574,2.14456,11.8985,8.39081,7.49755,4.09364,2.5658,0.0907809,0.051734,11.6574
3,30,1.58582,1.56931,2.28342,2.85199,0.0729915,0.0845119,5.39744,0.611846,5.72009,1.58582,1.56931,2.28342,2.852,0.0729915,0.084512,5.39744
2,4,1.70794,2.86194,2.93803,6.23506,0.494782,0.530491,1.9089,0.879385,2.07412,1.70794,2.86194,2.93803,6.23507,0.494782,0.530491,1.9089
5,25,8.31E+08,1.05E+11,1.59043,0.932549,0.0621492,0.0341765,5.54758,1.59041,5.54758,7.63E+08,1.51E+11,1.59041,0.93254,0.0621488,0.0341762,5.54758
3,3,7.06E+09,2.68E+11,2.20E+09,nan,1,nan,-2.56E-08,996.299,0.00300863,7.27E+08,1.25E+11,2.34E+09,4.70E+11,1,1.72E-07,-4.32E-10
