STATION,Oscillatoriaceae,Cryptomonadaceae,Prorocentrum.dentatum,Prorocentrum.trestinum,Prorocentrum.micans,Prorocentrum.minimum,Prorocentrum.sp.,Dinophysis.caudata,Gymnodinium.spp.,Gyrodinium.sp.,Gymnodiniales,Dissodinium.sp.,Ceratium.fusus,Ceratium.tripos,Ceratium.furca,Ceratium.kofoidii,Gonyaulux.sp.,Oxyphysis.oxytoxoides,Scrippsiella.sp.,Heterocapsa.sp.,Protoperidinium.pellucidum,Protoperidinium.bipes,Protoperidinium.depressum,Protoperidinium.spp.,Peridiniales,Dictyocha.fibula,Detonula.pumila,Thalassiosira.rotula,Thalassiosira.diporocyclus,Thalassiosira.spp.,Thalassiosiraceae,Aulacoseira.ambigua,Aulacoseira.distans,Aulacoseira.granulata,Melosira.varians,Corethron.hystrix,Coscinodiscus.sp.,Dactyliosen.sp.,Palmeria.hardmaniana,Asteromphalus.sarcophagus,Asteromphalus.flabellatus,Rhizosolenia.alata,Rhizosolenia.bergonii,Rhizosolenia.cylindrus,Rhizosolenia.fragilissima,Rhizosolenia.imbricata,Rhizosolenia.robusta,Rhizosolenia.setigera,Rhizosolenia.stolterfothii,Asterionella.glacialis,Diatoma.vulgare,Fragilaria.crotonensis,Fragilaria.sp.,Neodelphineis.pelagica,Synedra.acus,Synedra.spp.,Cerataulina.pelagica,Climacodium.biconcavum,Climacodium.frauenfeldianum,Bacteriastrum.sp.,Chaetoceros.atlanticum,Chaetoceros.compressum,Chaetoceros.lorenzianum,Chaetoceros.peruvianum,Chaetoceros.spp.,Thalassionema.nitzschioides,Thalassiothrix.sp.,Cocconeis.sp.,Achnanthes.sp.,Amphora.sp.,Cymbella.sp.,Gomphonema.sp.,Navicula.sp.,Pleurosigma.spp.,Cylindrotheca.closterium,Nitzschia.spp.,HAPTOPHYCEAE,EUGLENOPHYCEAE,PRASINOPHYCEAE
D29,0,103500,0,0,0,0,0,0,3500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,4500,193500,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,1000,0,0,4500,729000,0,0
D30,0,67500,0,0,0,28000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,87500,0,0,0,0,10500,49500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,13500,0,0,0,9000,3500,0,45000,805500,0,0
D31,0,9000,0,0,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,79000,0,0,0,0,18000,126000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,6000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,42000,1310000,0,0
D32,0,90000,0,0,0,0,18000,0,0,1000,1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,57500,0,0,0,0,3000,45000,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114000,850500,0,45000
D33,0,60300,0,0,0,43650,750,0,8600,0,0,0,0,0,0,0,0,0,750,0,0,0,0,750,113400,0,0,0,0,47450,60750,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,7900,0,0,0,737250,3400,6750
E34,82500,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,150000,0,0,0,0,14000,0,0,0,0,0,3000,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,24000,1500,0,0,2000,0,0,0,0,2000,0,24000,519000,2000,18000
E35,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,11500,0,0,0,0,0,0,1000,0,0,0,0,2000,0,0,0,2000,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,126000,1377000,0,0
E36,248000,57000,0,0,0,0,4000,0,0,0,0,0,0,0,0,1000,0,48000,0,0,0,0,0,1000,61000,0,0,0,0,40000,0,50000,0,8000,0,0,0,0,0,0,0,4000,4000,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,1000,0,9000,0,0,0,0,0,0,0,0,0,0,0,4000,2000,8000,21000,2457000,0,4000
E37,0,48750,0,0,0,1750,0,0,0,1750,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0,1000,0,6750,1750,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,2500,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,2500,3000,0,9000,0,0,0,0,0,0,0,0,1000,0,0,1148250,2500,0
E38,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,0,9750,0,0,0,0,9500,72000,0,0,0,0,0,0,0,0,0,0,7250,0,0,0,0,0,1000,6750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,35250,1000,0,21000,0,0,0,22500,0,0,0,666000,0,13500
E39,0,33500,0,0,0,24000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,74750,0,0,0,0,4750,49500,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,2250,0,0,500,760500,0,0
E40,140000,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,40250,0,0,0,0,3750,6750,26500,0,26500,0,0,7500,0,0,0,500,0,0,0,0,2500,0,500,0,0,0,0,0,0,0,0,6000,1500,0,3750,30000,0,0,750,0,5000,5000,0,0,0,0,0,0,0,0,6750,897000,2500,0
E41,41250,147000,0,0,0,0,2750,0,0,0,48000,0,0,0,0,0,0,0,10000,0,0,0,0,0,36500,0,0,3250,0,5250,54750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,3500,0,0,0,0,0,0,0,3250,0,0,548250,0,39000
